location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Bulgaria,2021-01-08,18,24,0.04,0.0,0.0
Bulgaria,2021-01-08,25,49,0.18,0.0,0.0
Bulgaria,2021-01-08,50,59,0.46,0.0,0.0
Bulgaria,2021-01-08,60,69,0.4,0.0,0.0
Bulgaria,2021-01-08,70,79,0.12,0.0,0.0
Bulgaria,2021-01-08,80,,0.04,0.0,0.0
Bulgaria,2021-01-15,18,24,0.05,0.0,0.0
Bulgaria,2021-01-15,25,49,0.25,0.0,0.0
Bulgaria,2021-01-15,50,59,0.62,0.0,0.0
Bulgaria,2021-01-15,60,69,0.55,0.0,0.0
